enterprise_id,enterprise_name,district,district_hq_lat,district_hq_lon,pincode,nic5_code,nic2_division,nic_description,registration_date,communication_address
KA-ENT-000001,,BENGALURU (URBAN),12.9716,77.5946,560091.0,25999,25,Manufacture of other fabricated metal products n.e.c.,30/06/2022,"13, YOGESH D P (MUNESHWARA FABRICATION), ., 13, ANDRAHALLI, BENGALURU"
KA-ENT-000002,,SHIVAMOGGA,13.9299,75.5681,577227,25111,25,"Manufacture of doors, windows and their frames, shutters and rolling shutters, gates and similer articles used on buildings",15/04/2021,"#10, SRI VEERABHADRESWARA LAOUT, CHANNAGIRI ROAD, #10, HOLEHONNUR, BHADRAVATHI"
KA-ENT-000003,,BENGALURU (URBAN),12.9716,77.5946,560023.0,10732,10,Manufacture of chocolate and chocolate confectionery,14/07/2021,"NO.20, 2ND CROSS, MAGADI ROAD, NO.20, ..., BANGALORE"
KA-ENT-000004,,DHARWAD,15.4589,75.0078,580001.0,25111,25,"Manufacture of doors, windows and their frames, shutters and rolling shutters, gates and similer articles used on buildings",21/09/2021,"KIADB, INDUSTRIAL, KELAGERI, KIADB, KELAGERI, DHARWAD"
KA-ENT-000005,,GADAG,15.43,75.62,582120.0,23106,23,Manufacture of glass bangles,15/07/2021,"01, MAILARALINGESHWAR BANGLE STORE, AMBEDKAR NAGAR, 01, 01, SHIRAHATTI"
KA-ENT-000006,,CHITRADURGA,14.2251,76.398,577511.0,10402,10,Manufacture of vegetable oils and fats excluding corn oil,15/07/2021,"Near Mariamman templ, Madhu N, Near Mariyamman Temple, Near Mariamman templ, 01, Hiriyur"
KA-ENT-000007,,DHARWAD,15.4589,75.0078,580031.0,10799,10,"Other semi-processed, processed or instant foods n.e.c. except farinaceous products and malted foods and manufacturing activities like manufacture of egg powder, sambar powder etc. (this excludes the activities covered under 10619)",23/02/2021,"NO 46, MRUTUNJAYA LAYOUT, HUBLI, NO 46, VIDYANAGAR, HUBLI"
KA-ENT-000008,,BELAGAVI,15.8497,74.4977,591216.0,13121,13,"Weaving, manufacture of cotton and cotton mixture fabrics.",21/09/2021,"GAT No.20B,, TPC No.5049 C, ICO Road, GAT No.20B,, Borgaon, Borgaon"
KA-ENT-000009,,MYSURU,12.2958,76.6394,571103.0,10712,10,"Manufacture of biscuits, cakes, pastries, rusks etc.",11/06/2021,"BILIKERE HOBLI, HUNSUR TALLUK, HUNSUR TALLUK, BILIKERE HOBLI, BILIKERE HOBLI, HUNSUR"
KA-ENT-000010,,BELAGAVI,15.8497,74.4977,591265,23109,23,"Manufacture of other glassware/ glass proudcts: articles of glass used in construction such as glass blocks; clock or watch glasses, optical glass and optical glass elements not optically worked; and other glass products (including glass beads) n.e.c",15/09/2020,"TELSANG, NEAR AMBEDKAR CIRCLE, NEAR AMBEDKAR CIRCLE, TELSANG, TELSANG, BELGAUM"
