enterprise_id,nic2_division,byproduct_name,waste_ratio_pct,qty_annual_tonnes_estimated,unit,district,source_citation
KA-ENT-000001,25,Sheet Metal Scrap,22.0,22.0,tonnes/year,BENGALURU (URBAN),"IEDC Dataset 439 / Allwood & Music (2024), Phil. Trans. Royal Society A DOI:10.1098/rsta.2023.0135"
KA-ENT-000001,25,Machining Swarf,12.0,12.0,tonnes/year,BENGALURU (URBAN),IEDC Dataset 439 / Allwood & Music (2024)
KA-ENT-000001,25,Mill Scale,10.0,10.0,tonnes/year,BENGALURU (URBAN),IEDC Dataset 439 / Allwood & Music (2024)
KA-ENT-000002,25,Sheet Metal Scrap,22.0,22.0,tonnes/year,SHIVAMOGGA,"IEDC Dataset 439 / Allwood & Music (2024), Phil. Trans. Royal Society A DOI:10.1098/rsta.2023.0135"
KA-ENT-000002,25,Machining Swarf,12.0,12.0,tonnes/year,SHIVAMOGGA,IEDC Dataset 439 / Allwood & Music (2024)
KA-ENT-000002,25,Mill Scale,10.0,10.0,tonnes/year,SHIVAMOGGA,IEDC Dataset 439 / Allwood & Music (2024)
KA-ENT-000003,10,Rice Husk,20.0,20.0,tonnes/year,BENGALURU (URBAN),IRRI Rice Knowledge Bank — Milling & Processing
KA-ENT-000003,10,Rice Bran,10.0,10.0,tonnes/year,BENGALURU (URBAN),IRRI Rice Knowledge Bank — Milling & Processing
KA-ENT-000004,25,Sheet Metal Scrap,22.0,22.0,tonnes/year,DHARWAD,"IEDC Dataset 439 / Allwood & Music (2024), Phil. Trans. Royal Society A DOI:10.1098/rsta.2023.0135"
KA-ENT-000004,25,Machining Swarf,12.0,12.0,tonnes/year,DHARWAD,IEDC Dataset 439 / Allwood & Music (2024)
KA-ENT-000004,25,Mill Scale,10.0,10.0,tonnes/year,DHARWAD,IEDC Dataset 439 / Allwood & Music (2024)
KA-ENT-000005,23,Broken/Rejected Bricks (Grog),7.0,7.0,tonnes/year,GADAG,GIZ Clean Brick Kiln Report; Construction & Building Materials DOI:10.1016/j.conbuildmat.2014.07.037
KA-ENT-000005,23,Kiln Fly Ash,3.0,3.0,tonnes/year,GADAG,GIZ Clean Brick Kiln Report
KA-ENT-000006,10,Rice Husk,20.0,20.0,tonnes/year,CHITRADURGA,IRRI Rice Knowledge Bank — Milling & Processing
KA-ENT-000006,10,Rice Bran,10.0,10.0,tonnes/year,CHITRADURGA,IRRI Rice Knowledge Bank — Milling & Processing
KA-ENT-000007,10,Rice Husk,20.0,20.0,tonnes/year,DHARWAD,IRRI Rice Knowledge Bank — Milling & Processing
KA-ENT-000007,10,Rice Bran,10.0,10.0,tonnes/year,DHARWAD,IRRI Rice Knowledge Bank — Milling & Processing
KA-ENT-000008,13,Fabric Cutting Waste,15.0,15.0,tonnes/year,BELAGAVI,Ellen MacArthur Foundation — A New Textiles Economy (2017)
KA-ENT-000008,13,Silk Noil / Reeling Waste,25.0,25.0,tonnes/year,BELAGAVI,FAO Agricultural Services Bulletin 136
KA-ENT-000009,10,Rice Husk,20.0,20.0,tonnes/year,MYSURU,IRRI Rice Knowledge Bank — Milling & Processing
KA-ENT-000009,10,Rice Bran,10.0,10.0,tonnes/year,MYSURU,IRRI Rice Knowledge Bank — Milling & Processing
KA-ENT-000010,23,Broken/Rejected Bricks (Grog),7.0,7.0,tonnes/year,BELAGAVI,GIZ Clean Brick Kiln Report; Construction & Building Materials DOI:10.1016/j.conbuildmat.2014.07.037
KA-ENT-000010,23,Kiln Fly Ash,3.0,3.0,tonnes/year,BELAGAVI,GIZ Clean Brick Kiln Report
KA-ENT-000011,10,Rice Husk,20.0,20.0,tonnes/year,UDUPI,IRRI Rice Knowledge Bank — Milling & Processing
KA-ENT-000011,10,Rice Bran,10.0,10.0,tonnes/year,UDUPI,IRRI Rice Knowledge Bank — Milling & Processing
KA-ENT-000012,13,Fabric Cutting Waste,15.0,15.0,tonnes/year,BENGALURU (URBAN),Ellen MacArthur Foundation — A New Textiles Economy (2017)
KA-ENT-000012,13,Silk Noil / Reeling Waste,25.0,25.0,tonnes/year,BENGALURU (URBAN),FAO Agricultural Services Bulletin 136
KA-ENT-000013,13,Fabric Cutting Waste,15.0,15.0,tonnes/year,BENGALURU (URBAN),Ellen MacArthur Foundation — A New Textiles Economy (2017)
KA-ENT-000013,13,Silk Noil / Reeling Waste,25.0,25.0,tonnes/year,BENGALURU (URBAN),FAO Agricultural Services Bulletin 136
KA-ENT-000014,10,Rice Husk,20.0,20.0,tonnes/year,BENGALURU (URBAN),IRRI Rice Knowledge Bank — Milling & Processing
KA-ENT-000014,10,Rice Bran,10.0,10.0,tonnes/year,BENGALURU (URBAN),IRRI Rice Knowledge Bank — Milling & Processing
KA-ENT-000015,10,Rice Husk,20.0,20.0,tonnes/year,BENGALURU (URBAN),IRRI Rice Knowledge Bank — Milling & Processing
KA-ENT-000015,10,Rice Bran,10.0,10.0,tonnes/year,BENGALURU (URBAN),IRRI Rice Knowledge Bank — Milling & Processing
KA-ENT-000016,13,Fabric Cutting Waste,15.0,15.0,tonnes/year,DAVANGERE,Ellen MacArthur Foundation — A New Textiles Economy (2017)
KA-ENT-000016,13,Silk Noil / Reeling Waste,25.0,25.0,tonnes/year,DAVANGERE,FAO Agricultural Services Bulletin 136
KA-ENT-000017,10,Rice Husk,20.0,20.0,tonnes/year,UTTAR KANNAD,IRRI Rice Knowledge Bank — Milling & Processing
KA-ENT-000017,10,Rice Bran,10.0,10.0,tonnes/year,UTTAR KANNAD,IRRI Rice Knowledge Bank — Milling & Processing
KA-ENT-000018,23,Broken/Rejected Bricks (Grog),7.0,7.0,tonnes/year,MYSURU,GIZ Clean Brick Kiln Report; Construction & Building Materials DOI:10.1016/j.conbuildmat.2014.07.037
KA-ENT-000018,23,Kiln Fly Ash,3.0,3.0,tonnes/year,MYSURU,GIZ Clean Brick Kiln Report
KA-ENT-000019,10,Rice Husk,20.0,20.0,tonnes/year,BELAGAVI,IRRI Rice Knowledge Bank — Milling & Processing
KA-ENT-000019,10,Rice Bran,10.0,10.0,tonnes/year,BELAGAVI,IRRI Rice Knowledge Bank — Milling & Processing
KA-ENT-000020,10,Rice Husk,20.0,20.0,tonnes/year,KOLAR,IRRI Rice Knowledge Bank — Milling & Processing
KA-ENT-000020,10,Rice Bran,10.0,10.0,tonnes/year,KOLAR,IRRI Rice Knowledge Bank — Milling & Processing
KA-ENT-000021,13,Fabric Cutting Waste,15.0,15.0,tonnes/year,BAGALKOT,Ellen MacArthur Foundation — A New Textiles Economy (2017)
KA-ENT-000021,13,Silk Noil / Reeling Waste,25.0,25.0,tonnes/year,BAGALKOT,FAO Agricultural Services Bulletin 136
KA-ENT-000022,13,Fabric Cutting Waste,15.0,15.0,tonnes/year,BELAGAVI,Ellen MacArthur Foundation — A New Textiles Economy (2017)
KA-ENT-000022,13,Silk Noil / Reeling Waste,25.0,25.0,tonnes/year,BELAGAVI,FAO Agricultural Services Bulletin 136
KA-ENT-000023,10,Rice Husk,20.0,20.0,tonnes/year,CHIKKAMAGALURU,IRRI Rice Knowledge Bank — Milling & Processing
KA-ENT-000023,10,Rice Bran,10.0,10.0,tonnes/year,CHIKKAMAGALURU,IRRI Rice Knowledge Bank — Milling & Processing
KA-ENT-000024,10,Rice Husk,20.0,20.0,tonnes/year,BELAGAVI,IRRI Rice Knowledge Bank — Milling & Processing
KA-ENT-000024,10,Rice Bran,10.0,10.0,tonnes/year,BELAGAVI,IRRI Rice Knowledge Bank — Milling & Processing
KA-ENT-000025,10,Rice Husk,20.0,20.0,tonnes/year,BENGALURU (URBAN),IRRI Rice Knowledge Bank — Milling & Processing
KA-ENT-000025,10,Rice Bran,10.0,10.0,tonnes/year,BENGALURU (URBAN),IRRI Rice Knowledge Bank — Milling & Processing
KA-ENT-000026,13,Fabric Cutting Waste,15.0,15.0,tonnes/year,BENGALURU (RURAL),Ellen MacArthur Foundation — A New Textiles Economy (2017)
KA-ENT-000026,13,Silk Noil / Reeling Waste,25.0,25.0,tonnes/year,BENGALURU (RURAL),FAO Agricultural Services Bulletin 136
KA-ENT-000027,13,Fabric Cutting Waste,15.0,15.0,tonnes/year,BELAGAVI,Ellen MacArthur Foundation — A New Textiles Economy (2017)
KA-ENT-000027,13,Silk Noil / Reeling Waste,25.0,25.0,tonnes/year,BELAGAVI,FAO Agricultural Services Bulletin 136
KA-ENT-000028,10,Rice Husk,20.0,20.0,tonnes/year,DAKSHIN KANNAD,IRRI Rice Knowledge Bank — Milling & Processing
KA-ENT-000028,10,Rice Bran,10.0,10.0,tonnes/year,DAKSHIN KANNAD,IRRI Rice Knowledge Bank — Milling & Processing
KA-ENT-000029,10,Rice Husk,20.0,20.0,tonnes/year,BENGALURU (RURAL),IRRI Rice Knowledge Bank — Milling & Processing
KA-ENT-000029,10,Rice Bran,10.0,10.0,tonnes/year,BENGALURU (RURAL),IRRI Rice Knowledge Bank — Milling & Processing
KA-ENT-000030,25,Sheet Metal Scrap,22.0,22.0,tonnes/year,RAMANAGARA,"IEDC Dataset 439 / Allwood & Music (2024), Phil. Trans. Royal Society A DOI:10.1098/rsta.2023.0135"
KA-ENT-000030,25,Machining Swarf,12.0,12.0,tonnes/year,RAMANAGARA,IEDC Dataset 439 / Allwood & Music (2024)
KA-ENT-000030,25,Mill Scale,10.0,10.0,tonnes/year,RAMANAGARA,IEDC Dataset 439 / Allwood & Music (2024)
KA-ENT-000031,10,Rice Husk,20.0,20.0,tonnes/year,YADGIR,IRRI Rice Knowledge Bank — Milling & Processing
KA-ENT-000031,10,Rice Bran,10.0,10.0,tonnes/year,YADGIR,IRRI Rice Knowledge Bank — Milling & Processing
KA-ENT-000032,10,Rice Husk,20.0,20.0,tonnes/year,VIJAYAPURA,IRRI Rice Knowledge Bank — Milling & Processing
KA-ENT-000032,10,Rice Bran,10.0,10.0,tonnes/year,VIJAYAPURA,IRRI Rice Knowledge Bank — Milling & Processing
KA-ENT-000033,13,Fabric Cutting Waste,15.0,15.0,tonnes/year,BENGALURU (URBAN),Ellen MacArthur Foundation — A New Textiles Economy (2017)
KA-ENT-000033,13,Silk Noil / Reeling Waste,25.0,25.0,tonnes/year,BENGALURU (URBAN),FAO Agricultural Services Bulletin 136
KA-ENT-000034,13,Fabric Cutting Waste,15.0,15.0,tonnes/year,DAKSHIN KANNAD,Ellen MacArthur Foundation — A New Textiles Economy (2017)
KA-ENT-000034,13,Silk Noil / Reeling Waste,25.0,25.0,tonnes/year,DAKSHIN KANNAD,FAO Agricultural Services Bulletin 136
KA-ENT-000035,13,Fabric Cutting Waste,15.0,15.0,tonnes/year,BENGALURU (RURAL),Ellen MacArthur Foundation — A New Textiles Economy (2017)
KA-ENT-000035,13,Silk Noil / Reeling Waste,25.0,25.0,tonnes/year,BENGALURU (RURAL),FAO Agricultural Services Bulletin 136
KA-ENT-000036,13,Fabric Cutting Waste,15.0,15.0,tonnes/year,BELAGAVI,Ellen MacArthur Foundation — A New Textiles Economy (2017)
KA-ENT-000036,13,Silk Noil / Reeling Waste,25.0,25.0,tonnes/year,BELAGAVI,FAO Agricultural Services Bulletin 136
KA-ENT-000037,13,Fabric Cutting Waste,15.0,15.0,tonnes/year,BENGALURU (URBAN),Ellen MacArthur Foundation — A New Textiles Economy (2017)
KA-ENT-000037,13,Silk Noil / Reeling Waste,25.0,25.0,tonnes/year,BENGALURU (URBAN),FAO Agricultural Services Bulletin 136
KA-ENT-000038,10,Rice Husk,20.0,20.0,tonnes/year,CHITRADURGA,IRRI Rice Knowledge Bank — Milling & Processing
KA-ENT-000038,10,Rice Bran,10.0,10.0,tonnes/year,CHITRADURGA,IRRI Rice Knowledge Bank — Milling & Processing
KA-ENT-000039,23,Broken/Rejected Bricks (Grog),7.0,7.0,tonnes/year,BALLARI,GIZ Clean Brick Kiln Report; Construction & Building Materials DOI:10.1016/j.conbuildmat.2014.07.037
KA-ENT-000039,23,Kiln Fly Ash,3.0,3.0,tonnes/year,BALLARI,GIZ Clean Brick Kiln Report
KA-ENT-000040,16,Sawdust,25.0,25.0,tonnes/year,TUMAKURU,IEDC Dataset 412 / Broman & Fredriksson (2015)
KA-ENT-000040,16,Wood Bark,12.0,12.0,tonnes/year,TUMAKURU,IEDC Dataset 412 / Broman & Fredriksson (2015)
KA-ENT-000040,16,Wood Offcuts,24.0,24.0,tonnes/year,TUMAKURU,IEDC Dataset 412 / Broman & Fredriksson (2015)
KA-ENT-000041,13,Fabric Cutting Waste,15.0,15.0,tonnes/year,KODAGU,Ellen MacArthur Foundation — A New Textiles Economy (2017)
KA-ENT-000041,13,Silk Noil / Reeling Waste,25.0,25.0,tonnes/year,KODAGU,FAO Agricultural Services Bulletin 136
KA-ENT-000042,23,Broken/Rejected Bricks (Grog),7.0,7.0,tonnes/year,MYSURU,GIZ Clean Brick Kiln Report; Construction & Building Materials DOI:10.1016/j.conbuildmat.2014.07.037
KA-ENT-000042,23,Kiln Fly Ash,3.0,3.0,tonnes/year,MYSURU,GIZ Clean Brick Kiln Report
KA-ENT-000043,13,Fabric Cutting Waste,15.0,15.0,tonnes/year,MANDYA,Ellen MacArthur Foundation — A New Textiles Economy (2017)
KA-ENT-000043,13,Silk Noil / Reeling Waste,25.0,25.0,tonnes/year,MANDYA,FAO Agricultural Services Bulletin 136
