from_district,to_district,distance_km_estimated
BAGALKOT,BAGALKOT,0.0
BAGALKOT,BALLARI,174.85
BAGALKOT,BELAGAVI,133.75
BAGALKOT,BENGALURU (RURAL),395.87
BAGALKOT,BENGALURU (URBAN),411.21
BAGALKOT,BIDAR,272.6
BAGALKOT,CHAMARAJNAGAR,492.46
BAGALKOT,CHIKBALLAPUR,375.55
BAGALKOT,CHIKKAMAGALURU,318.91
BAGALKOT,CHITRADURGA,230.26
BAGALKOT,DAKSHIN KANNAD,374.69
BAGALKOT,DAVANGERE,192.61
BAGALKOT,DHARWAD,109.42
BAGALKOT,GADAG,84.2
BAGALKOT,HASSAN,355.83
BAGALKOT,HAVERI,157.71
BAGALKOT,KALABURAGI,174.56
BAGALKOT,KODAGU,418.0
BAGALKOT,KOLAR,427.91
BAGALKOT,KOPPAL,104.63
BAGALKOT,MANDYA,427.0
BAGALKOT,MYSURU,443.96
BAGALKOT,RAICHUR,175.57
BAGALKOT,RAMANAGARA,421.52
BAGALKOT,SHIVAMOGGA,250.97
BAGALKOT,TUMAKURU,351.17
BAGALKOT,UDUPI,332.42
BAGALKOT,UTTAR KANNAD,227.94
BAGALKOT,VIJAYAPURA,71.94
BAGALKOT,YADGIR,166.46
BAGALKOT,VIJAYANAGAR,125.72
BALLARI,BAGALKOT,174.85
BALLARI,BALLARI,0.0
BALLARI,BELAGAVI,271.45
BALLARI,BENGALURU (RURAL),231.82
BALLARI,BENGALURU (URBAN),251.75
BALLARI,BIDAR,314.66
BALLARI,CHAMARAJNAGAR,357.79
BALLARI,CHIKBALLAPUR,208.61
BALLARI,CHIKKAMAGALURU,237.59
BALLARI,CHITRADURGA,116.21
BALLARI,DAKSHIN KANNAD,332.97
BALLARI,DAVANGERE,131.08
BALLARI,DHARWAD,208.29
BALLARI,GADAG,143.28
BALLARI,HASSAN,253.13
BALLARI,HAVERI,167.46
BALLARI,KALABURAGI,243.79
BALLARI,KODAGU,327.83
BALLARI,KOLAR,258.06
BALLARI,KOPPAL,85.51
BALLARI,MANDYA,291.08
BALLARI,MYSURU,317.66
BALLARI,RAICHUR,127.56
BALLARI,RAMANAGARA,272.3
BALLARI,SHIVAMOGGA,198.25
BALLARI,TUMAKURU,201.43
BALLARI,UDUPI,308.48
BALLARI,UTTAR KANNAD,302.33
BALLARI,VIJAYAPURA,228.29
BALLARI,YADGIR,182.33
BALLARI,VIJAYANAGAR,58.72
BELAGAVI,BAGALKOT,133.75
BELAGAVI,BALLARI,271.45
BELAGAVI,BELAGAVI,0.0
BELAGAVI,BENGALURU (RURAL),454.07
BELAGAVI,BENGALURU (URBAN),462.2
BELAGAVI,BIDAR,394.84
BELAGAVI,CHAMARAJNAGAR,510.31
BELAGAVI,CHIKBALLAPUR,439.41
BELAGAVI,CHIKKAMAGALURU,313.32
