"EnterpriseName","State","District","Pincode","RegistrationDate","CommunicationAddress","NIC5DigitCode","NICDescription"
"YOGESH D P (MUNESHWARA FABRICATION)","KARNATAKA","BENGALURU (URBAN)","560091.0","30/06/2022","13, YOGESH D P (MUNESHWARA FABRICATION), ., 13, ANDRAHALLI, BENGALURU","25999","Manufacture of other fabricated metal products n.e.c."
"arun kumar bricks manufacturing","KARNATAKA","BALLARI","583129.0","30/06/2022","WARD NO 4, HONNURASWMAY ONI, BELLARY MAIN ROAD, WARD NO 4, KAMPLI, BELLARY","32909","Manufacture of other articles n.e.c."
"SRI ADI SHAKTHI ASSOCIATES ... Mfg of Coconut Shell Charcoal and Charcoal Granules.","KARNATAKA","HASSAN","572201","15/04/2021","KHATA NO 9/111/11, PROPERTY NO 2475/2153  2476/2153/1, M B SHANKARAPPA GARDEN, KHATA NO 9/111/11, SAI BABA TEMPLE ROAD, TIPTUR, TUMKUR DIST","32909","Manufacture of other articles n.e.c."
"S S FURNITURE","KARNATAKA","BENGALURU (URBAN)","560027","15/04/2021","NO 19, ......, 3 RD CROSS, NO 19, JAYANAGAR, BANGALORE","31001","Manufacture of furniture made of wood"
"NAZ TRADERS","KARNATAKA","SHIVAMOGGA","577227","15/04/2021","#10, SRI VEERABHADRESWARA LAOUT, CHANNAGIRI ROAD, #10, HOLEHONNUR, BHADRAVATHI","25111","Manufacture of doors, windows and their frames, shutters and rolling shutters, gates and similer articles used on buildings"
"MANJUNATH KUMARAPPA KALGUTKAR","KARNATAKA","UTTAR KANNAD","581343","15/04/2021","SC/ST HOSTEL ROAD, NELLIKERI, SC/ST HOSTEL ROAD, SC/ST HOSTEL ROAD, KUMTA, KUMTA","14101","Manufacture of all types of textile garments and clothing accessories"
"SARASWATHI TAILORING AND READYMADE GARMENTS","KARNATAKA","BALLARI","583101.0","24/01/2021","HOUSE NO 37, WARD NO 13, MILLER PET, HOUSE NO 37, BALLARI, BALLARI","14101","Manufacture of all types of textile garments and clothing accessories"
"ASIA TRADE LINK","KARNATAKA","BENGALURU (URBAN)","560023.0","14/07/2021","NO.20, 2ND CROSS, MAGADI ROAD, NO.20, ..., BANGALORE","10732","Manufacture of chocolate and chocolate confectionery"
"Vaishnavi","KARNATAKA","BIDAR","585403.0","14/07/2021","18-1-169 Chidri, Chidri Bidar, bidar, 18-1-169 Chidri, 18-1-169 Chidri, bidar","17013","Manufacture of paper and paper rolls not further processed"
"MANJUNATHA JEWELLERY WORKS","KARNATAKA","BENGALURU (URBAN)","560027.0","21/09/2021","31/2, NA, S.R nagar, 31/2, 8th cross,7th main road, BENGALURU","32111","Manufacture of jewellery of gold, silver and other precious or base metal metal clad with precious metals or precious or semi-precious stones, or of combinations of precious metal and precious or semi-precious stones or of other materials"
"BHARAT INDUSTRIES","KARNATAKA","DHARWAD","580001.0","21/09/2021","KIADB, INDUSTRIAL, KELAGERI, KIADB, KELAGERI, DHARWAD","25111","Manufacture of doors, windows and their frames, shutters and rolling shutters, gates and similer articles used on buildings"
"MAILARALINGESHWAR BANGLE STORE","KARNATAKA","GADAG","582120.0","15/07/2021","01, MAILARALINGESHWAR BANGLE STORE, AMBEDKAR NAGAR, 01, 01, SHIRAHATTI","23106","Manufacture of glass bangles"
"Dhaanya Nature Pure Oil","KARNATAKA","CHITRADURGA","577511.0","15/07/2021","Near Mariamman templ, Madhu N, Near Mariyamman Temple, Near Mariamman templ, 01, Hiriyur","10402","Manufacture of vegetable oils and fats excluding corn oil"
