district,hq_town,lat,lon,source
BAGALKOT,Bagalkot,16.1833,75.7,OpenStreetMap/Wikipedia
BALLARI,Ballari,15.1394,76.9214,OpenStreetMap/Wikipedia
BELAGAVI,Belagavi,15.8497,74.4977,OpenStreetMap/Wikipedia
BENGALURU (RURAL),Bengaluru,13.1986,77.7066,OpenStreetMap/Wikipedia
BENGALURU (URBAN),Bengaluru,12.9716,77.5946,OpenStreetMap/Wikipedia
BIDAR,Bidar,17.9104,77.5199,OpenStreetMap/Wikipedia
CHAMARAJNAGAR,Chamarajanagar,11.9218,76.9433,OpenStreetMap/Wikipedia
CHIKBALLAPUR,Chikkaballapur,13.4355,77.7315,OpenStreetMap/Wikipedia
CHIKKAMAGALURU,Chikkamagaluru,13.3161,75.772,OpenStreetMap/Wikipedia
CHITRADURGA,Chitradurga,14.2251,76.398,OpenStreetMap/Wikipedia
DAKSHIN KANNAD,Mangaluru,12.9141,74.856,OpenStreetMap/Wikipedia
DAVANGERE,Davangere,14.4644,75.9218,OpenStreetMap/Wikipedia
DHARWAD,Dharwad,15.4589,75.0078,OpenStreetMap/Wikipedia
GADAG,Gadag,15.43,75.62,OpenStreetMap/Wikipedia
HASSAN,Hassan,13.0068,76.1004,OpenStreetMap/Wikipedia
HAVERI,Haveri,14.7939,75.4041,OpenStreetMap/Wikipedia
KALABURAGI,Kalaburagi,17.3297,76.82,OpenStreetMap/Wikipedia
KODAGU,Madikeri,12.4243,75.7382,OpenStreetMap/Wikipedia
KOLAR,Kolar,13.1359,78.1294,OpenStreetMap/Wikipedia
KOPPAL,Koppal,15.3504,76.1549,OpenStreetMap/Wikipedia
MANDYA,Mandya,12.5218,76.8951,OpenStreetMap/Wikipedia
MYSURU,Mysuru,12.2958,76.6394,OpenStreetMap/Wikipedia
RAICHUR,Raichur,16.212,77.3439,OpenStreetMap/Wikipedia
RAMANAGARA,Ramanagara,12.7157,77.2819,OpenStreetMap/Wikipedia
SHIVAMOGGA,Shivamogga,13.9299,75.5681,OpenStreetMap/Wikipedia
TUMAKURU,Tumakuru,13.3379,77.1173,OpenStreetMap/Wikipedia
UDUPI,Udupi,13.3409,74.7421,OpenStreetMap/Wikipedia
UTTAR KANNAD,Karwar,14.8013,74.1288,OpenStreetMap/Wikipedia
VIJAYAPURA,Vijayapura,16.8302,75.71,OpenStreetMap/Wikipedia
YADGIR,Yadgir,16.7658,77.1381,OpenStreetMap/Wikipedia
VIJAYANAGAR,Hosapete,15.2689,76.3909,OpenStreetMap/Wikipedia
